row_index,error_family,own_family_projection_energy,best_other_projection_energy,projection_margin,proj_causal_substitution,proj_definition_substitution,proj_entity_swap,proj_numeric_distortion,proj_role_inversion
14,role_inversion,0.4008619785308838,0.10859749466180801,0.2922644838690758,0.10859749466180801,0.010958679020404816,0.019622502848505974,0.048013459891080856,0.4008619785308838
15,causal_substitution,0.5259019136428833,0.18305251002311707,0.34284940361976624,0.5259019136428833,0.18305251002311707,0.02446053735911846,0.07264821976423264,0.1505512297153473
16,definition_substitution,0.986038863658905,0.147175595164299,0.838863268494606,0.147175595164299,0.986038863658905,0.03622947260737419,0.06866782158613205,0.10095658153295517
17,entity_swap,0.15771996974945068,0.26164230704307556,-0.10392233729362488,0.05605616793036461,0.26164230704307556,0.15771996974945068,0.0856565460562706,0.06298363953828812
18,numeric_distortion,0.36540278792381287,0.13734255731105804,0.22806023061275482,0.09282128512859344,0.08220040053129196,0.06644691526889801,0.36540278792381287,0.13734255731105804
19,role_inversion,0.26334378123283386,0.16507470607757568,0.09826907515525818,0.12238243222236633,0.16507470607757568,0.010592617094516754,0.0529722236096859,0.26334378123283386
20,causal_substitution,0.7263352274894714,0.06321176886558533,0.6631234586238861,0.7263352274894714,0.043851349502801895,0.030914707109332085,0.02372209168970585,0.06321176886558533
21,definition_substitution,0.023534519597887993,0.14193347096443176,-0.11839895136654377,0.10033884644508362,0.023534519597887993,0.13597068190574646,0.10710837692022324,0.14193347096443176
22,entity_swap,0.15158440172672272,0.10879337042570114,0.042791031301021576,0.030106080695986748,0.03334477171301842,0.15158440172672272,0.04011911526322365,0.10879337042570114
23,numeric_distortion,0.14867499470710754,0.13606347143650055,0.012611523270606995,0.11927812546491623,0.01252063550055027,0.13606347143650055,0.14867499470710754,0.12433827668428421
24,role_inversion,0.6790561676025391,0.08420658856630325,0.5948495790362358,0.08420658856630325,0.04602696746587753,0.0337960347533226,0.020135482773184776,0.6790561676025391
25,causal_substitution,0.7946290969848633,0.1614922136068344,0.6331368833780289,0.7946290969848633,0.1132832020521164,0.025824110954999924,0.09932881593704224,0.1614922136068344
26,definition_substitution,0.9854283928871155,0.14986392855644226,0.8355644643306732,0.14986392855644226,0.9854283928871155,0.006432028487324715,0.10954465717077255,0.12334136664867401
27,entity_swap,0.20730464160442352,0.1590261161327362,0.04827852547168732,0.10365263372659683,0.1590261161327362,0.20730464160442352,0.05476152524352074,0.12460934370756149
28,numeric_distortion,0.9433749914169312,0.20520591735839844,0.7381690740585327,0.20520591735839844,0.12019353359937668,0.010077654384076595,0.9433749914169312,0.14777454733848572
29,role_inversion,0.6028159260749817,0.08854647725820541,0.5142694488167763,0.08703316003084183,0.07380735874176025,0.0037909492384642363,0.08854647725820541,0.6028159260749817
30,causal_substitution,0.09672625362873077,0.1602959781885147,-0.06356972455978394,0.09672625362873077,0.024208681657910347,0.1602959781885147,0.08040717989206314,0.11932051181793213
31,definition_substitution,0.24272821843624115,0.19666023552417755,0.0460679829120636,0.06498659402132034,0.24272821843624115,0.19666023552417755,0.05144306272268295,0.1099829450249672
32,entity_swap,0.7759613394737244,0.09424979239702225,0.6817115470767021,0.06885717064142227,0.09424979239702225,0.7759613394737244,0.0870530754327774,0.04594379663467407
